"id","province_code","city_code","name"
"1","11","1101","KAB. ACEH SELATAN"
"2","11","1102","KAB. ACEH TENGGARA"
"3","11","1103","KAB. ACEH TIMUR"
"4","11","1104","KAB. ACEH TENGAH"
"5","11","1105","KAB. ACEH BARAT"
"6","11","1106","KAB. ACEH BESAR"
"7","11","1107","KAB. PIDIE"
"8","11","1108","KAB. ACEH UTARA"
"9","11","1109","KAB. SIMEULUE"
"10","11","1110","KAB. ACEH SINGKIL"
"11","11","1111","KAB. BIREUEN"
"12","11","1112","KAB. ACEH BARAT DAYA"
"13","11","1113","KAB. GAYO LUES"
"14","11","1114","KAB. ACEH JAYA"
"15","11","1115","KAB. NAGAN RAYA"
"16","11","1116","KAB. ACEH TAMIANG"
"17","11","1117","KAB. BENER MERIAH"
"18","11","1118","KAB. PIDIE JAYA"
"19","11","1171","KOTA BANDA ACEH"
"20","11","1172","KOTA SABANG"
"21","11","1173","KOTA LHOKSEUMAWE"
"22","11","1174","KOTA LANGSA"
"23","11","1175","KOTA SUBULUSSALAM"
"24","12","1201","KAB. TAPANULI TENGAH"
"25","12","1202","KAB. TAPANULI UTARA"
"26","12","1203","KAB. TAPANULI SELATAN"
"27","12","1204","KAB. NIAS"
"28","12","1205","KAB. LANGKAT"
"29","12","1206","KAB. KARO"
"30","12","1207","KAB. DELI SERDANG"
"31","12","1208","KAB. SIMALUNGUN"
"32","12","1209","KAB. ASAHAN"
"33","12","1210","KAB. LABUHANBATU"
"34","12","1211","KAB. DAIRI"
"35","12","1212","KAB. TOBA"
"36","12","1213","KAB. MANDAILING NATAL"
"37","12","1214","KAB. NIAS SELATAN"
"38","12","1215","KAB. PAKPAK BHARAT"
"39","12","1216","KAB. HUMBANG HASUNDUTAN"
"40","12","1217","KAB. SAMOSIR"
"41","12","1218","KAB. SERDANG BEDAGAI"
"42","12","1219","KAB. BATU BARA"
"43","12","1220","KAB. PADANG LAWAS UTARA"
"44","12","1221","KAB. PADANG LAWAS"
"45","12","1222","KAB. LABUHANBATU SELATAN"
"46","12","1223","KAB. LABUHANBATU UTARA"
"47","12","1224","KAB. NIAS UTARA"
"48","12","1225","KAB. NIAS BARAT"
"49","12","1271","KOTA MEDAN"
"50","12","1272","KOTA PEMATANGSIANTAR"
"51","12","1273","KOTA SIBOLGA"
"52","12","1274","KOTA TANJUNG BALAI"
"53","12","1275","KOTA BINJAI"
"54","12","1276","KOTA TEBING TINGGI"
"55","12","1277","KOTA PADANGSIDIMPUAN"
"56","12","1278","KOTA GUNUNGSITOLI"
"57","13","1301","KAB. PESISIR SELATAN"
"58","13","1302","KAB. SOLOK"
"59","13","1303","KAB. SIJUNJUNG"
"60","13","1304","KAB. TANAH DATAR"
"61","13","1305","KAB. PADANG PARIAMAN"
"62","13","1306","KAB. AGAM"
"63","13","1307","KAB. LIMA PULUH KOTA"
"64","13","1308","KAB. PASAMAN"
"65","13","1309","KAB. KEPULAUAN MENTAWAI"
"66","13","1310","KAB. DHARMASRAYA"
"67","13","1311","KAB. SOLOK SELATAN"
"68","13","1312","KAB. PASAMAN BARAT"
"69","13","1371","KOTA PADANG"
"70","13","1372","KOTA SOLOK"
"71","13","1373","KOTA SAWAHLUNTO"
"72","13","1374","KOTA PADANG PANJANG"
"73","13","1375","KOTA BUKITTINGGI"
"74","13","1376","KOTA PAYAKUMBUH"
"75","13","1377","KOTA PARIAMAN"
"76","14","1401","KAB. KAMPAR"
"77","14","1402","KAB. INDRAGIRI HULU"
"78","14","1403","KAB. BENGKALIS"
"79","14","1404","KAB. INDRAGIRI HILIR"
"80","14","1405","KAB. PELALAWAN"
"81","14","1406","KAB. ROKAN HULU"
"82","14","1407","KAB. ROKAN HILIR"
"83","14","1408","KAB. SIAK"
"84","14","1409","KAB. KUANTAN SINGINGI"
"85","14","1410","KAB. KEPULAUAN MERANTI"
"86","14","1471","KOTA PEKANBARU"
"87","14","1472","KOTA DUMAI"
"88","15","1501","KAB. KERINCI"
"89","15","1502","KAB. MERANGIN"
"90","15","1503","KAB. SAROLANGUN"
"91","15","1504","KAB. BATANGHARI"
"92","15","1505","KAB. MUARO JAMBI"
"93","15","1506","KAB. TANJUNG JABUNG BARAT"
"94","15","1507","KAB. TANJUNG JABUNG TIMUR"
"95","15","1508","KAB. BUNGO"
"96","15","1509","KAB. TEBO"
"97","15","1571","KOTA JAMBI"
"98","15","1572","KOTA SUNGAI PENUH"
"99","16","1601","KAB. OGAN KOMERING ULU"
"100","16","1602","KAB. OGAN KOMERING ILIR"
"101","16","1603","KAB. MUARA ENIM"
"102","16","1604","KAB. LAHAT"
"103","16","1605","KAB. MUSI RAWAS"
"104","16","1606","KAB. MUSI BANYUASIN"
"105","16","1607","KAB. BANYUASIN"
"106","16","1608","KAB. OGAN KOMERING ULU TIMUR"
"107","16","1609","KAB. OGAN KOMERING ULU SELATAN"
