"id","city_code","district_code","name"
"1","1101","110101","Bakongan"
"2","1101","110102","Kluet Utara"
"3","1101","110103","Kluet Selatan"
"4","1101","110104","Labuhan Haji"
"5","1101","110105","Meukek"
"6","1101","110106","Samadua"
"7","1101","110107","Sawang"
"8","1101","110108","Tapaktuan"
"9","1101","110109","Trumon"
"10","1101","110110","Pasi Raja"
"11","1101","110111","Labuhan Haji Timur"
"12","1101","110112","Labuhan Haji Barat"
"13","1101","110113","Kluet Tengah"
"14","1101","110114","Kluet Timur"
"15","1101","110115","Bakongan Timur"
"16","1101","110116","Trumon Timur"
"17","1101","110117","Kota Bahagia"
"18","1101","110118","Trumon Tengah"
"19","1102","110201","Lawe Alas"
"20","1102","110202","Lawe Sigala-Gala"
"21","1102","110203","Bambel"
"22","1102","110204","Babussalam"
"23","1102","110205","Badar"
"24","1102","110206","Babul Makmur"
"25","1102","110207","Darul Hasanah"
"26","1102","110208","Lawe Bulan"
"27","1102","110209","Bukit Tusam"
"28","1102","110210","Semadam"
"29","1102","110211","Babul Rahmah"
"30","1102","110212","Ketambe"
"31","1102","110213","Deleng Pokhkisen"
"32","1102","110214","Lawe Sumur"
"33","1102","110215","Tanoh Alas"
"34","1102","110216","Leuser"
"35","1103","110301","Darul Aman"
"36","1103","110302","Julok"
"37","1103","110303","Idi Rayeuk"
"38","1103","110304","Birem Bayeun"
"39","1103","110305","Serbajadi"
"40","1103","110306","Nurussalam"
"41","1103","110307","Peureulak"
"42","1103","110308","Rantau Selamat"
"43","1103","110309","Simpang Ulim"
"44","1103","110310","Rantau Peureulak"
"45","1103","110311","Pante Bidari"
"46","1103","110312","Madat"
"47","1103","110313","Indra Makmu"
"48","1103","110314","Idi Tunong"
"49","1103","110315","Banda Alam"
"50","1103","110316","Peudawa"
"51","1103","110317","Peureulak Timur"
"52","1103","110318","Peureulak Barat"
"53","1103","110319","Sungai Raya"
"54","1103","110320","Simpang Jernih"
"55","1103","110321","Darul Ihsan"
"56","1103","110322","Darul Falah"
"57","1103","110323","Idi Timur"
"58","1103","110324","Peunaron"
"59","1104","110401","Linge"
"60","1104","110402","Silih Nara"
"61","1104","110403","Bebesen"
"62","1104","110407","Pegasing"
"63","1104","110408","Bintang"
"64","1104","110410","Ketol"
"65","1104","110411","Kebayakan"
"66","1104","110412","Kute Panang"
"67","1104","110413","Celala"
"68","1104","110417","Laut Tawar"
"69","1104","110418","Atu Lintang"
"70","1104","110419","Jagong Jeget"
"71","1104","110420","Bies"
"72","1104","110421","Rusip Antara"
"73","1105","110501","Johan Pahwalan"
"74","1105","110502","Kaway XVI"
"75","1105","110503","Sungai Mas"
"76","1105","110504","Woyla"
"77","1105","110505","Samatiga"
"78","1105","110506","Bubon"
"79","1105","110507","Arongan Lambalek"
"80","1105","110508","Pante Ceureumen"
"81","1105","110509","Meureubo"
"82","1105","110510","Woyla Barat"
"83","1105","110511","Woyla Timur"
"84","1105","110512","Panton Reu"
"85","1106","110601","Lhoong"
"86","1106","110602","Lhoknga"
"87","1106","110603","Indrapuri"
"88","1106","110604","Seulimeum"
"89","1106","110605","Montasik"
"90","1106","110606","Sukamakmur"
"91","1106","110607","Darul Imarah"
"92","1106","110608","Peukan Bada"
"93","1106","110609","Mesjid Raya"
"94","1106","110610","Ingin Jaya"
"95","1106","110611","Kuta Baro"
"96","1106","110612","Darussalam"
"97","1106","110613","Pulo Aceh"
"98","1106","110614","Lembah Seulawah"
"99","1106","110615","Kota Jantho"
"100","1106","110616","Kota Cot Glie"
"101","1106","110617","Kuta Malaka"
"102","1106","110618","Simpang Tiga"
"103","1106","110619","Darul Kamal"
"104","1106","110620","Baitussalam"
"105","1106","110621","Krueng Barona Jaya"
"106","1106","110622","Leupung"
"107","1106","110623","Blang Bintang"
"108","1107","110703","Batee"
"109","1107","110704","Delima"
"110","1107","110705","Geumpang"
"111","1107","110706","Geulumpang Tiga"
"112","1107","110707","Indra Jaya"
