"id","island_code","city_code","province_code","name"
"1","40001","1101","11","Pulau Batukapal"
"2","40002","1101","11","Pulau Batutunggal"
"3","40003","1101","11","Pulau Kayee"
"4","40004","1101","11","Pulau Mangki"
"5","40005","1101","11","Pulau Tengku"
"6","40006","1101","11","Pulau Trumon"
"7","40001","1103","11","Pulau Bangka Matee"
"8","40002","1103","11","Pulau Gosongsungaibelah"
"9","40003","1103","11","Pulau Krueng Beukah"
"10","40004","1103","11","Pulau Kuala Parek"
"11","40005","1103","11","Pulau Nebukserdang"
"12","40006","1103","11","Pulau Pusong Broh"
"13","40007","1103","11","Pulau Pusong Brooh"
"14","40008","1103","11","Pulau Ujongperleng"
"15","40001","1106","11","Pulau Amad Rangmanyang"
"16","40002","1106","11","Pulau Baeet"
"17","40003","1106","11","Pulau Bateebeukah"
"18","40004","1106","11","Pulau Bateecut"
"19","40005","1106","11","Pulau Bateedua Selatan"
"20","40006","1106","11","Pulau Bateedua Utara"
"21","40007","1106","11","Pulau Bateeleblah"
"22","40008","1106","11","Pulau Bateelumpat"
"23","40009","1106","11","Pulau Bateepantee Lhok Nga"
"24","40010","1106","11","Pulau Bateerayeuk"
"25","40011","1106","11","Pulau Bateetamon Rayeuk"
"26","40012","1106","11","Pulau Bateetamon Selatan"
"27","40013","1106","11","Pulau Bateetamon Tengoh"
"28","40014","1106","11","Pulau Bateetamon Utara"
"29","40015","1106","11","Pulau Bateeujong Lhok Paro"
"30","40016","1106","11","Pulau Bateeujong Lhok Tuleot"
"31","40017","1106","11","Pulau Breueh"
"32","40018","1106","11","Pulau Bukulah Utara"
"33","40019","1106","11","Pulau Bunta"
"34","40020","1106","11","Pulau Burok"
"35","40021","1106","11","Pulau Cut"
"36","40022","1106","11","Pulau Gepon Cut"
"37","40023","1106","11","Pulau Gepon Selatan"
"38","40024","1106","11","Pulau Gepon Tengoh"
"39","40025","1106","11","Pulau Geupon Batee"
"40","40026","1106","11","Pulau Iku Maneek"
