"id","district_code","village_code","name"
"1","110101","1101012001","Keude Bakongan"
"2","110101","1101012002","Ujong Mangki"
"3","110101","1101012003","Ujong Padang"
"4","110101","1101012004","Gampong Drien"
"5","110101","1101012015","Darul Ikhsan"
"6","110101","1101012016","Padang Beurahan"
"7","110101","1101012017","Gampong Baro"
"8","110102","1101022001","Fajar Harapan"
"9","110102","1101022002","Krueng Batee"
"10","110102","1101022003","Pasi Kuala Asahan"
"11","110102","1101022004","Gunung Pulo"
"12","110102","1101022005","Pulo Ie I"
"13","110102","1101022006","Jambo Manyang"
"14","110102","1101022007","Simpang Empat"
"15","110102","1101022008","Limau Purut"
"16","110102","1101022009","Pulo Kambing"
"17","110102","1101022010","Kampung Paya"
"18","110102","1101022011","Krueng Batu"
"19","110102","1101022012","Krueng Kluet"
"20","110102","1101022013","Alur Mas"
"21","110102","1101022014","Kampung Tinggi"
"22","110102","1101022015","Ruak"
"23","110102","1101022016","Simpang Lhee"
"24","110102","1101022017","Suaq Geuringgeng"
"25","110102","1101022018","Pasi Kuala Ba'u"
"26","110102","1101022019","Kedai Padang"
"27","110102","1101022020","Kotafajar"
"28","110102","1101022021","Gunung Pudung"
"29","110103","1101032001","Suaq Bakung"
"30","110103","1101032002","Rantau Binuang"
"31","110103","1101032003","Barat Daya"
"32","110103","1101032004","Sialang"
"33","110103","1101032005","Kapeh"
"34","110103","1101032006","Pulo Ie"
"35","110103","1101032007","Kedai Runding"
"36","110103","1101032008","Kedai Kandang"
"37","110103","1101032009","Gampong Luar"
"38","110103","1101032010","Ujung"
"39","110103","1101032011","Jua"
"40","110103","1101032012","Pasi Meurapat"
"41","110103","1101032013","Ujung Pasir"
"42","110103","1101032014","Geulumbuk"
"43","110103","1101032015","Pasie Lembang"
"44","110103","1101032016","Ujung Padang"
"45","110103","1101032017","Indra Damai"
"46","110104","1101042001","Bakau Hulu"
"47","110104","1101042002","Padang Bakau"
"48","110104","1101042003","Manggis Harapan"
"49","110104","1101042004","Pasar Lama"
"50","110104","1101042005","Apha"
"51","110104","1101042006","Ujung Batu"
"52","110104","1101042007","Pawoh"
"53","110104","1101042008","Dalam"
"54","110104","1101042009","Kota Palak"
"55","110104","1101042010","Cacang"
"56","110104","1101042011","Tengah Pisang"
"57","110104","1101042012","Pisang"
"58","110104","1101042013","Hulu Pisang"
"59","110104","1101042014","Tengah Baru"
"60","110104","1101042015","Lembah Baru"
"61","110104","1101042016","Padang Baru"
"62","110105","1101052001","Kuta Buloh II"
"63","110105","1101052002","Kuta Buloh I"
"64","110105","1101052003","Ie Dingen"
"65","110105","1101052004","Drien Jalo"
"66","110105","1101052005","Jambo Papeun"
"67","110105","1101052006","Buket Meuh"
"68","110105","1101052007","Blang Kuala"
"69","110105","1101052008","Rot Teungoh"
"70","110105","1101052009","Alue Baro"
"71","110105","1101052010","Ladang Tuha"
"72","110105","1101052011","Lhok Mamplam"
"73","110105","1101052012","Arun Tunggai"
"74","110105","1101052013","Blang Teungoh"
"75","110105","1101052014","Blang Bladeh"
"76","110105","1101052015","Ie Buboh"
"77","110105","1101052016","Keude Meukek"
"78","110105","1101052017","Kuta Baro"
"79","110105","1101052018","Tanjung Harapan"
"80","110105","1101052019","Labuhan Tarok"
"81","110105","1101052020","Lhok Aman"
"82","110105","1101052021","Alue Meutuah"
"83","110105","1101052022","Ladang Baro"
"84","110105","1101052023","Labuhan Tarok II"
"85","110106","1101062001","Dalam"
"86","110106","1101062002","Subarang"
"87","110106","1101062003","Kuta Baru"
"88","110106","1101062004","Gunung Ketek"
"89","110106","1101062005","Ladang Panton Luas"
"90","110106","1101062006","Madat"
"91","110106","1101062007","Alur Seumerah"
"92","110106","1101062008","Tengah"
"93","110106","1101062009","Gunung Cut"
"94","110106","1101062010","Alur Pinang"
"95","110106","1101062011","Kuta Blang"
"96","110106","1101062012","Batee Tunggai"
"97","110106","1101062013","Ujung Tanah"
"98","110106","1101062014","Ujung Kampung"
"99","110106","1101062015","Jilatang"
"100","110106","1101062016","Luar"
"101","110106","1101062017","Lubuk Layu"
"102","110106","1101062018","Suaq Hulu"
"103","110106","1101062019","Tampang"
"104","110106","1101062020","Payonan Gadang"
"105","110106","1101062021","Gadang"
"106","110106","1101062022","Baru"
"107","110106","1101062023","Ladang Kasik Putih"
"108","110106","1101062024","Air Sialang Hilir."
"109","110106","1101062025","Air Sialang Hulu"
"110","110106","1101062026","Air Sialang Tengah"
"111","110106","1101062027","Balai"
"112","110106","1101062028","Arafah"
"113","110107","1101072001","Sikulat"
"114","110107","1101072002","Sawang I"
"115","110107","1101072003","Meuligo"
"116","110107","1101072004","Lhok Pawoh"
"117","110107","1101072005","Sawang II"
"118","110107","1101072006","Ujung Karang"
"119","110107","1101072007","Trieng Meuduro Baroh"
"120","110107","1101072008","Trieng Meuduro Tunong"
"121","110107","1101072009","Panton Luas"
"122","110107","1101072010","Simpang Tiga"
"123","110107","1101072011","Kuta Baro"
"124","110107","1101072012","Blang Geulinggang"
"125","110107","1101072013","Mutiara"
"126","110107","1101072014","Ujung Padang"
"127","110107","1101072015","Sawang Ba'u"
"128","110108","1101082001","Lhok Keutapang"
"129","110108","1101082002","Hilir"
"130","110108","1101082003","Padang"
"131","110108","1101082004","Hulu"
"132","110108","1101082005","Jambo Apha"
"133","110108","1101082006","Tepi Air"
"134","110108","1101082007","Pasar"
"135","110108","1101082008","Lhok Bengkuang"
"136","110108","1101082009","Panton Luas"
"137","110108","1101082010","Gunung Kerambil"
"138","110108","1101082011","Air Berudang"
"139","110108","1101082012","Batu Itam"
"140","110108","1101082013","Panjupian"
"141","110108","1101082014","Lhok Rukam"
"142","110108","1101082015","Air Pinang"
"143","110108","1101082016","Lhok Bengkuang Timur"
"144","110109","1101092001","Keude Trumon"
"145","110109","1101092002","Ujong Tanoh"
"146","110109","1101092003","Sigleng"
"147","110109","1101092004","Ie Meudama"
"148","110109","1101092005","Tuepin Tinggi"
"149","110109","1101092006","Kuta Baro"
"150","110109","1101092007","Panton Bilie"
"151","110109","1101092012","Kuta Padang"
"152","110109","1101092013","Raket"
"153","110109","1101092014","Gampong Teungoh"
"154","110109","1101092015","Seuneubok Jaya"
"155","110109","1101092016","Padang Harapan"
"156","110110","1101102001","Ladang Teungoh"
"157","110110","1101102002","Pucok Krueng"
"158","110110","1101102003","Silolo"
"159","110110","1101102004","Kampung Baru"
"160","110110","1101102005","Panton Bili"
"161","110110","1101102006","Paya Ateuk"
"162","110110","1101102007","Ladang Tuha"
"163","110110","1101102008","Mata Ie"
"164","110110","1101102009","Ujong Batee"
"165","110110","1101102010","Lhok Sialang Cut"
"166","110110","1101102011","Seuneubok"
"167","110110","1101102012","Ie Mirah"
"168","110110","1101102013","Pasie Rasian"
"169","110110","1101102014","Ujung Padang Rasian"
"170","110110","1101102015","Krueng Kalee"
"171","110110","1101102016","Lhok Sialang Rayeuk"
"172","110110","1101102017","Gampong Baro"
"173","110110","1101102018","Teupin Gajah"
"174","110110","1101102019","Ujung Padang Asahan"
"175","110110","1101102020","Pulo Ie II"
"176","110110","1101102021","Pante Raja"
"177","110111","1101112001","Tengah Peulumat"
"178","110111","1101112002","Paya Peulumat"
"179","110111","1101112003","Padang Peulumat"
"180","110111","1101112004","Aur Peulumat"
"181","110111","1101112005","Limau Saring"
"182","110111","1101112006","Beutong"
"183","110111","1101112007","Peuneulop"
"184","110111","1101112008","Gunung Rotan"
"185","110111","1101112009","Keumumu Hilir"
"186","110111","1101112010","Keumumu Hulu"
"187","110111","1101112011","Keumumu Seberang"
"188","110111","1101112012","Sawang Indah"
"189","110112","1101122001","Tutong"
"190","110112","1101122002","Teungoh Iboh"
"191","110112","1101122003","Peulokan"
"192","110112","1101122004","Kuta Iboh"
"193","110112","1101122005","Ujung Padang"
"194","110112","1101122006","Blang Baru"
"195","110112","1101122007","Blang Poroh"
"196","110112","1101122008","Pulo Ie"
"197","110112","1101122009","Suak Lokan"
"198","110112","1101122010","Iku Lhueng"
"199","110112","1101122011","Kuta Trieng"
"200","110112","1101122012","Pante Geulima"
"201","110112","1101122013","Panton Pawoh"
"202","110112","1101122014","Batee Meucanang"
"203","110112","1101122015","Panton Rubek"
"204","110113","1101132001","Koto"
"205","110113","1101132002","Alur Keujrun"
"206","110113","1101132003","Jambo Papan"
"207","110113","1101132004","Malaka"
"208","110113","1101132005","Koto Indarung"
"209","110113","1101132006","Siurai-Urai"
"210","110113","1101132007","Kampung Sawah"
"211","110113","1101132008","Kampung Padang"
"212","110113","1101132009","Pulo Air"
"213","110113","1101132010","Lawe Melang"
"214","110113","1101132011","Mersak"
"215","110113","1101132012","Simpang Dua"
"216","110113","1101132013","Simpang Tiga"
"217","110114","1101142001","Paya Dapur"
"218","110114","1101142002","Sapik"
"219","110114","1101142003","Alai"
"220","110114","1101142004","Durian Kawan"
"221","110114","1101142005","Lawe Sawah"
"222","110114","1101142006","Lawe Buluh Didi"
"223","110114","1101142007","Pucuk Lembang"
"224","110114","1101142008","Paya Laba"
"225","110114","1101142009","Lawe Cimanok"
"226","110115","1101152001","Pasie Seubadeh"
"227","110115","1101152002","Ladang Rimba"
"228","110115","1101152003","Ujong Pulo Rayeuk"
"229","110115","1101152004","Sawah Tingkeum"
"230","110115","1101152005","Simpang"
"231","110115","1101152006","Ujong Pulo Cut"
"232","110115","1101152008","Seuleukat"
"233","110116","1101162005","Pinto Rimba"
"234","110116","1101162006","Krueng Luas"
"235","110116","1101162007","Jambo Dalem"
"236","110116","1101162008","Kapa Sesak"
"237","110116","1101162009","Seuneubok Punto"
"238","110116","1101162010","Seuneubok Pusaka"
"239","110116","1101162011","Alur Bujok"
"240","110116","1101162012","Titi Poben"
"241","110117","1101172001","Buket Gadeng"
"242","110117","1101172002","Rambong"
"243","110117","1101172003","Seuneubok Keuranji"
"244","110117","1101172004","Seuneubok Alur Buloh"
"245","110117","1101172005","Ujong Tanoh"
"246","110117","1101172006","Ujong Gunong Cut"
"247","110117","1101172007","Ujong Gunung Rayeuk"
"248","110117","1101172008","Beutong"
"249","110117","1101172009","Jambo Keupok"
"250","110117","1101172010","Alurduamas"
"251","110118","1101182001","Ladang Rimba"
"252","110118","1101182002","Gunong Kapho"
"253","110118","1101182003","Kampong Teungoh"
"254","110118","1101182004","Krueng Batee"
"255","110118","1101182005","Pulo Paya"
"256","110118","1101182006","Jambo Papeun"
"257","110118","1101182007","Cot Bayu"
"258","110118","1101182008","Naca"
"259","110118","1101182009","Ie Jeureuneh"
"260","110118","1101182010","Lhok Raya"
"261","110201","1102012001","Engkeran"
"262","110201","1102012002","Rumah Kampung"
"263","110201","1102012004","Pasir Bangun"
"264","110201","1102012006","Kubu"
"265","110201","1102012007","Lawe Kongker"
"266","110201","1102012008","Kuta Cingkam II"
"267","110201","1102012009","Muara Baru"
"268","110201","1102012011","Kuta Batu I"
"269","110201","1102012012","Kuta Cingkam I"
"270","110201","1102012013","Kuta Batu II"
"271","110201","1102012014","Lawe Sempilang"
"272","110201","1102012015","Prapat Batu Nunggul"
"273","110201","1102012016","Pulo Sepang"
"274","110201","1102012017","Rih Mbelang"
"275","110201","1102012018","Kute Batu Baru"
"276","110201","1102012019","Darul Amin"
"277","110201","1102012020","Lawe Lubang Indah"
"278","110201","1102012021","Batu Hamparan"
"279","110201","1102012022","Paye Munje"
"280","110201","1102012023","Pulo Ndapdap"
"281","110201","1102012024","Pasir Nunggul"
"282","110201","1102012025","Cingkham Mekhanggun"
"283","110201","1102012026","Pintu Khimbe"
"284","110201","1102012027","Lawe Kongker Hilir"
"285","110201","1102012028","Pulo Gadung"
"286","110201","1102012029","Pasikh Pehkmate"
"287","110201","1102012030","Pasikh Nunang"
"288","110201","1102012031","Deleng Kukusen"
"289","110202","1102022001","Bukit Merdeka"
"290","110202","1102022002","Darul Aman"
"291","110202","1102022003","Lawe Kesumpat"
"292","110202","1102022004","Lawe Tua Gabungan"
"293","110202","1102022005","Lawe Sigala II"
"294","110202","1102022006","Lawe Sigala Timur"
"295","110202","1102022007","Lawe Sigala Barat"
"296","110202","1102022008","Suka Damai"
"297","110202","1102022009","Kute Tengah"
"298","110202","1102022010","Tanah Baru"
"299","110202","1102022011","Kedataran Gabungan"
"300","110202","1102022012","Gabungan Parsaroan"
"301","110202","1102022013","Lawe Loning Gabungan"
"302","110202","1102022014","Lawe Loning Aman"
"303","110202","1102022015","Suka Maju"
"304","110202","1102022016","Lawe Tua Makmur"
"305","110202","1102022017","Lawe Tua Persatuan"
"306","110202","1102022018","Lawe Serke"
"307","110202","1102022019","Lawe Rakat"
"308","110202","1102022020","Suka Jaya"
"309","110202","1102022021","Enmiya Batu Dua Ratus"
"310","110202","1102022022","Sebungke"
"311","110202","1102022023","Bukit Sepakat"
"312","110202","1102022024","Lawe Loning Sepakat"
"313","110202","1102022025","Lawe Loning I"
"314","110202","1102022026","Gaya Jaya"
"315","110202","1102022027","Gelah Musara"
"316","110202","1102022028","Mulie Dame"
"317","110202","1102022029","Lawe Loning Hakhapen"
"318","110202","1102022030","Karya Indah"
"319","110202","1102022031","Kayu Mbelin"
"320","110202","1102022032","Lawe Sigala Barat Jaya"
"321","110202","1102022033","Lawe Pekhidinen"
"322","110202","1102022034","Kertimbang"
"323","110202","1102022035","Ndauh Nitenggo"
"324","110203","1102032001","Bambel Gabungan"
"325","110203","1102032002","Kisam"
"326","110203","1102032005","Lawe Hijo"
"327","110203","1102032006","Pinding"
"328","110203","1102032009","Terutung Megara Asli"
"329","110203","1102032011","Biak Muli"
"330","110203","1102032012","Kute Lang-Lang"
"331","110203","1102032013","Pedesi"
"332","110203","1102032014","Terutung Payung Hulu"
"333","110203","1102032015","Terutung Payung Hilir"
"334","110203","1102032016","Tualang Sembilar"
"335","110203","1102032017","Kuning I"
"336","110203","1102032018","Kuning II"
"337","110203","1102032019","Cinta Damai"
"338","110203","1102032020","Likat"
"339","110203","1102032021","Rikit"
"340","110203","1102032023","Bambel"
"341","110203","1102032025","Lawe Kihing"
"342","110203","1102032026","Terutung Seperai"
"343","110203","1102032027","Kute Seri"
"344","110203","1102032028","Kuta Antara"
"345","110203","1102032029","Pulo Perengge"
"346","110203","1102032031","Pulo Kendondong"
"347","110203","1102032033","Pancakh Iman"
"348","110203","1102032034","Biak Muli Baru"
"349","110203","1102032035","Biak Muli Pantai Raja"
"350","110203","1102032036","Biak Muli Sejahtera"
"351","110203","1102032037","Lembah Haji"
"352","110203","1102032038","Terutung PayungGabungan"
"353","110203","1102032039","Lawe Hijo Metuah"
"354","110203","1102032040","Ampera"
"355","110203","1102032041","Tembilakh Mbakhu"
"356","110203","1102032042","Kute Lang-Lang Bakhu"
"357","110204","1102042001","Kota Kutacane"
"358","110204","1102042002","Perapat Hilir"
"359","110204","1102042003","Perapat Hulu"
"360","110204","1102042004","Muara Lawe Bulan"
"361","110204","1102042005","Mbarung"
"362","110204","1102042006","Batu Mbulan Asli"
"363","110204","1102042007","Batu Mbulan I"
"364","110204","1102042008","Batu Mbulan II"
"365","110204","1102042009","Kampung Raja"
"366","110204","1102042010","Pulonas"
"367","110204","1102042011","Kampung Melayu Gabungan"
"368","110204","1102042012","Terutung Pedi"
"369","110204","1102042013","Kute Rih"
"370","110204","1102042014","Gumpang Jaya"
"371","110204","1102042015","Pulo Latong"
"372","110204","1102042016","Kutacane Lama"
"373","110204","1102042017","Batu Mbulan Mbaru"
"374","110204","1102042018","Pulo Peding"
"375","110204","1102042019","Mendabe"
"376","110204","1102042020","Ujung Barat"
"377","110204","1102042021","Pekhapat Titi Panjang"
"378","110204","1102042022","Pekhapat Sepakat"
"379","110204","1102042023","Alas Marantcar"
"380","110204","1102042024","Batu Mbulan Sepakat"
"381","110204","1102042025","Pulo Sanggakh"
"382","110204","1102042026","Melayu I"
"383","110204","1102042027","Mbarung Datuk Saudane"
"384","110205","1102052005","Salang Alas"
"385","110205","1102052009","Kuta Pasir"
"386","110205","1102052011","Purwodadi"
"387","110205","1102052012","Kuta Tinggi"
"388","110205","1102052013","Kampung Baru"
"389","110205","1102052014","Peranginan"
"390","110205","1102052015","Natam"
"391","110205","1102052025","Kumbang Jaya"
"392","110205","1102052026","Kumbang Indah"
"393","110205","1102052027","Natam Baru"
"394","110205","1102052029","Deleng Megakhe"
"395","110205","1102052030","Lawe Bekung"
"396","110205","1102052031","Lawe Bekung Tampahan"
"397","110205","1102052032","Badar Indah"
"398","110205","1102052033","Batu Mbekhong"
"399","110205","1102052034","Tanah Merah"
"400","110205","1102052035","Tanoh Megakhe"
"401","110205","1102052036","Lawe Sekerah"
"402","110206","1102062001","Pardomuan II"
"403","110206","1102062002","Lawe Desky I"
"404","110206","1102062003","Lawe Desky Sabas"
"405","110206","1102062004","Pardomuan I"
"406","110206","1102062005","Cinta Damai"
"407","110206","1102062006","Pardamean"
"408","110206","1102062007","Lawe Desky Tongah"
"409","110206","1102062008","Kute Bakti"
"410","110206","1102062010","Muara Situlen"
"411","110206","1102062011","Sejahtera"
"412","110206","1102062012","Kute Makmur"
"413","110206","1102062013","Pardamean"
"414","110206","1102062014","Lawe Mantik"
"415","110206","1102062015","Cinta Makmur"
"416","110206","1102062016","Muara Setia"
"417","110206","1102062017","Tanoh Alas"
"418","110206","1102062018","Sejahtera Baru"
"419","110206","1102062024","Lawe Tawakh"
"420","110206","1102062025","Sabilussalam"
"421","110206","1102062026","Lawe Desky Jaya"
"422","110206","1102062027","Pintu Alas"
"423","110207","1102072001","Gulo"
"424","110207","1102072002","Pulo Piku"
"425","110207","1102072003","Terutung Kute"
"426","110207","1102072004","Kute Ujung"
"427","110207","1102072005","Lawe Stul"
"428","110207","1102072006","Kite Merangun"
"429","110207","1102072007","Mamas"
"430","110207","1102072008","Tanjung Lama"
"431","110207","1102072009","Tanjung Muda"
"432","110207","1102072010","Rambung Teldak"
"433","110207","1102072011","Tanjung Aman"
"434","110207","1102072012","Sri Muda"
"435","110207","1102072013","Ujung Baru"
"436","110207","1102072014","Kute Rambe"
"437","110207","1102072015","Mamas Baru"
